csv_file,total_rows,empty_rows,indian_rows
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-14-17.csv,28301,8912,978
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-22-17.csv,22716,6934,1014
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-29-20.csv,30003,9359,605
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-05-13.csv,18943,5959,828
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-22-17.csv,19506,5903,823
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-08-12.csv,17544,6103,448
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-22-15.csv,24133,7602,1136
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-17-14.csv,25786,8506,1554
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-12-05.csv,25379,7854,508
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-16-15.csv,26494,8514,1207
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-02-21.csv,22526,7054,89
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-05-19.csv,29252,8793,307
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-16-19.csv,20755,6568,605
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-11-17.csv,23268,7393,1190
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-12-21.csv,33973,11333,282
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-26-09.csv,21141,6148,1723
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-31-04.csv,16895,5457,1150
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-21-12.csv,14447,5116,326
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-19-04.csv,20701,6834,583
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-23-04.csv,24988,8214,1360
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-30-22.csv,22515,6889,218
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-19-06.csv,25127,8138,911
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-25-09.csv,10527,3554,156
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-27-03.csv,31694,10343,1663
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-03-05.csv,24704,7870,1786
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-06-10.csv,29827,10296,1168
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-07-20.csv,22873,7017,138
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-09-21.csv,19846,6020,100
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-23-07.csv,19112,5643,1235
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-05-15.csv,28330,9095,1502
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-10-11.csv,16227,5039,1000
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-04-00.csv,27725,8888,311
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-02-01.csv,25684,8586,258
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-12-22.csv,23525,7242,127
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-19-02.csv,26657,9105,764
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-26-18.csv,26494,8414,1087
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-17-23.csv,6873,2378,54
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-12-00.csv,21336,7188,325
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-21-17.csv,22240,6932,758
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-12-22.csv,5091,1692,34
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-27-00.csv,29409,9438,373
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-13-20.csv,32930,10901,331
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-17-08.csv,24440,7102,1557
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-05-01.csv,21258,7061,507
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-08-08.csv,23123,6839,1669
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-31-06.csv,24136,7291,1950
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-12-07.csv,18829,6488,398
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-27-05.csv,29944,10063,387
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-07-16.csv,32326,10129,435
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-05-06.csv,24611,7673,1879
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-26-22.csv,21112,6975,128
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-18-03.csv,22799,7704,918
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-07-09.csv,17482,5268,951
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-31-07.csv,18047,5418,1437
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-29-13.csv,17864,5609,969
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-28-06.csv,145227,46910,1470
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-19-14.csv,19443,6028,573
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-25-15.csv,58778,21105,546
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-27-05.csv,28700,8953,2064
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-22-19.csv,27297,8291,623
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-01-13.csv,23897,7090,1920
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-26-09.csv,19990,6319,1188
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-17-07.csv,17393,5298,1286
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-09-14.csv,24640,7294,1017
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-01-09.csv,8807,3108,326
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-24-04.csv,29860,10498,2134
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-28-10.csv,24584,7179,1661
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-26-13.csv,27849,8638,1669
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-24-03.csv,24119,8649,1382
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-08-22.csv,25381,8137,139
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-24-06.csv,22336,7572,370
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-31-11.csv,30769,10919,2279
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-14-03.csv,23412,7852,1251
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-23-14.csv,7928,2644,93
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-16-22.csv,22674,7073,197
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-07-18.csv,25997,7889,846
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-05-02.csv,24370,8733,548
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-24-11.csv,21611,7391,367
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-27-01.csv,44151,14866,318
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-25-18.csv,19185,5561,652
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-11-04.csv,43248,15867,1200
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-15-23.csv,27265,8970,215
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-08-21.csv,33344,10777,135
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-15-09.csv,21736,7854,647
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-01-05.csv,25105,7915,1907
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-18-12.csv,17857,5613,884
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-08-00.csv,30917,10272,327
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-27-19.csv,32992,10396,336
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-15-12.csv,24095,7668,1122
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-03-14.csv,19511,6067,882
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-15-04.csv,14402,5319,486
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-30-20.csv,95451,27665,981
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-22-21.csv,26599,8409,241
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-05-20.csv,19745,6464,169
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-12-18.csv,18034,5601,277
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-21-23.csv,19054,6511,231
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-16-11.csv,11243,4160,277
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-11-07.csv,15980,4777,426
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-19-22.csv,17837,5633,185
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-14-08.csv,25702,7624,1984
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-06-20.csv,15013,4864,166
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-15-17.csv,15770,4878,316
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-06-22.csv,38848,11410,183
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-15-04.csv,19240,6430,1285
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-03-18.csv,28035,8401,917
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-14-15.csv,27006,8387,894
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-15-05.csv,17896,5983,1205
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-03-13.csv,17747,5759,958
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-12-02.csv,19055,6445,667
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-31-21.csv,35744,12066,370
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-28-07.csv,24665,7293,1573
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-10-07.csv,29425,10175,844
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-04-03.csv,19057,6369,1070
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-19-21.csv,29320,9376,372
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-10-14.csv,19660,6238,223
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-16-22.csv,24860,7477,112
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-13-09.csv,21320,6509,1437
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-04-08.csv,83074,24451,6990
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-30-22.csv,76599,23574,359
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-25-23.csv,25249,7824,202
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-15-06.csv,25515,7895,1756
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-02-02.csv,19439,6534,753
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-28-12.csv,22338,6814,1117
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-26-04.csv,26237,8817,1879
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-18-13.csv,19843,6397,839
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-24-04.csv,21708,6979,1194
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-06-08.csv,26150,7553,1556
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-22-10.csv,26653,7895,1984
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-14-04.csv,21211,6463,2478
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-01-05.csv,22155,6915,1744
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-06-06.csv,29207,9905,913
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-11-19.csv,27025,8601,831
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-07-23.csv,21877,6767,312
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-20-14.csv,29441,9125,1183
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-25-15.csv,21787,6807,913
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-10-20.csv,20321,6369,315
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-29-20.csv,179079,59024,976
